term_id	annotation_genes	my_method	dhac
1004	['837778', '843596', '843810', '844343', '817272', '817646', '825714', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[0, 1, 2, 3, 4]
428	['837778', '838364', '841652', '842985', '843048', '844264', '844343', '816546', '817272', '817646', '818069', '820211', '822266', '825714', '827001', '827727', '831861', '831832', '831377', '832057', '832136', '832247', '834212', '835320']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
1024	['838807', '841558', '842103', '843903', '822517', '827307', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[3, 4]
663	['839566', '837974', '837996', '843095', '816545', '817499']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[0, 1, 2, 3, 4, 12]
6421	['838151', '838851', '841447', '818899', '820775', '824970', '826914', '829995', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[6]
6451	['838851', '841447', '818899', '820775', '824970', '826914', '829995', '830101', '831122', '832070', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[6]
125035	['839433', '837974', '816270', '816545', '818731', '821143', '820041', '823859', '828489', '3770591', '836393']	[25, 26, 27, 28, 29]	[27]
1008	['837778', '841843', '843596', '843810', '844343', '817646', '825714', '831377', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[0, 1, 2, 3, 4]
299	['839433', '839566', '837778', '837974', '841843', '842985', '843596', '843810', '844264', '844343', '816270', '816545', '817221', '817272', '817499', '817646', '818343', '825714', '827727', '831861', '831151', '831377', '832057', '833979', '834232', '835320']	[0, 1, 2, 3, 4, 5, 6, 7]	[3, 4]
173799	['838021', '817646', '828489', '831832', '835355']	[38, 39, 40, 41, 42, 43, 44, 45, 46]	[43]
739	['843903', '822517', '824970', '826914', '827307', '829995', '830101', '831122', '832070', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4]
6497	['837778', '844343', '817272', '831832', '832136', '834286']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[3, 4]
973	['824970', '826914', '829995', '830101', '831122', '835398']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[3, 4, 6, 7]
1223	['837778', '843596', '844343', '817646', '825714', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[0, 1, 2, 3, 4]
5637	['838362', '838672', '839642', '841467', '841900', '842833', '844230', '816651', '816692', '818316']	[3, 4, 5, 6, 7]	[5, 6, 7]
7145	['837974', '816545', '817499', '818343', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[3, 4, 11, 12, 13, 15, 16, 17]
125211	['839433', '837974', '816270', '816545', '818731', '819107', '820041', '823859', '828489', '3770591', '836393']	[25, 26, 27, 28, 29, 30]	[27]
184464	['838779', '844230', '842833', '839392', '838672', '818316', '843747', '814643', '841920', '830128', '837040', '829966']	[44]	[44]
1005	['837778', '843596', '843810', '844343', '817646', '825714', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[0, 1, 2, 3, 4]
258	['841467', '842833', '844230', '816651', '836393']	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]
155370	['837974', '817221', '818599', '821143', '825714']	[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[38]
733	['841558', '843903', '822517', '824970', '826914', '827307', '829995', '830101', '831472', '832070', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4]
129500	['838079', '841468', '816768', '818069', '824970', '829995', '831472', '831528', '832070']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[29, 30, 31, 38, 39]
534	['837265', '838151', '839869', '818672', '821840', '824699', '824970', '825208', '826914', '827001', '827830', '829730', '829995', '831122', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[3, 4]
720	['837778', '843048', '843596', '843810', '844343', '817272', '817646', '825714', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[0, 1, 2, 3, 4]
222	['844283', '817174', '824524', '828577', '831910', '835431']	[0, 1, 2, 3]	[0, 1, 2, 3]
6453	['838807', '838851', '841447', '842103', '818899', '824970', '826914', '829995', '830101', '831122', '832070', '835398', '836043']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[6]
6912	['837974', '838455', '816545', '817499', '818343', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[11, 12, 13, 15, 16, 17]
6915	['843095', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13, 14]
121186	['841468', '841892', '816768', '824970', '827001', '829995', '830101', '831472', '831528', '832070']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29]
1573	['838364', '842985', '843048', '820211', '822266']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	[0, 1, 2, 3, 4, 5]
129467	['838079', '841447', '816768', '818069', '818822', '826914', '829995', '831472', '831528', '832070', '832247']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[29, 38, 39]
920	['837778', '841843', '843596', '843810', '844343', '817646', '825714', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[0, 1, 2, 3, 4]
6585	['841447', '818899', '824970', '826914', '829995', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[6]
6589	['841447', '818899', '820775', '826914', '829995', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[6]
6673	['842103', '818899', '824970', '826914', '829995', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[6]
6328	['838151', '838851', '841447', '818899', '820775', '824699', '825208', '826914', '830101', '831122', '835375', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[6]
451	['837265', '838151', '838364', '839869', '841652', '816546', '818069', '818672', '820211', '821840', '824699', '824937', '825208', '826914', '827001', '827830', '829730', '829995', '831832', '831122', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[3, 4]
140943	['837974', '817221', '818599', '821143', '832057']	[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[31]
373	['839433', '839566', '837974', '843596', '843810', '816545', '817221', '817499', '818343']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[0, 1, 2, 3, 4]
8683	['838362', '838672', '839642', '841467', '841900', '842833', '843747', '844230', '816651', '816692', '818316', '829966', '836393']	[4, 5]	[5]
5605	['838362', '838672', '839642', '841467', '841900', '842833', '843747', '844230', '816651', '816692', '818316', '836393']	[3, 4, 5]	[5]
433	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '844264', '844343', '816546', '817272', '817646', '818069', '818672', '820211', '822266', '824699', '824937', '825208', '825714', '827001', '827727', '829730', '831832', '831122', '832057', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
1125	['838807', '842103', '822517', '824970', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[3, 4]
1126	['838807', '841558', '842103', '822517', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[3, 4, 11]
887	['838151', '824970', '826914', '829995', '830101', '831122', '835398']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[3, 4, 6]
889	['838151', '839869', '824699', '826914', '830101', '831122', '835398']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[3, 4, 5, 6]
495	['837265', '838151', '838364', '839869', '841652', '844264', '816546', '818069', '818672', '820211', '821840', '824699', '824937', '825208', '826914', '827001', '827830', '829730', '831832', '831122', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[3, 4]
781	['838364', '841652', '842985', '843048', '844264', '816546', '817272', '818069', '820211', '822266', '827001', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[1, 2, 3, 4]
548	['837778', '841843', '843048', '843596', '844343', '817272', '817646', '825714', '827727', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[0, 1, 2, 3, 4]
7229	['837974', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[12, 13, 15, 16, 17, 18, 20, 21]
6143	['837778', '843048', '844343', '817272', '820211', '822266', '831832', '832136', '834286']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4]
52241	['839433', '837974', '816270', '816545', '817221', '817499', '818343', '819107', '820741', '833471']	[13, 14, 15, 16, 17, 18, 19, 20, 21]	[16, 17]
6329	['838151', '838851', '841447', '818899', '820775', '824970', '825208', '826914', '829995', '830101', '831122', '832070', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[6]
752	['837778', '843048', '844343', '817272', '820211', '822266', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[0, 1, 2, 3, 4]
6601	['841447', '816768', '818899', '820775', '825208', '826914', '831122', '835375', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[6]
7370	['843048', '817272', '820211', '830157', '834286']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[5]
6127	['838151', '838851', '841447', '843903', '818899', '820775', '824970', '825208', '826914', '829995', '830101', '831122', '832070', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[6]
910	['838807', '841558', '842103', '843903', '822517', '824970', '827307', '829995', '830101', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[3, 4]
129495	['838079', '841447', '816768', '818069', '824970', '826914', '829995', '831472', '831528', '832070', '832247']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[29, 38, 39]
594	['841558', '843903', '822517', '824970', '826914', '827307', '829995', '830101', '831122', '832070', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[3, 4]
1235	['817272', '817646', '820211', '825714', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[0, 1, 2, 3, 4]
129234	['838079', '841447', '816768', '818069', '818822', '818899', '822055', '826914', '829995', '831472', '831528', '832070', '832247']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[29]
456	['837778', '841652', '841843', '842985', '843048', '843596', '844343', '816270', '817272', '817646', '818069', '825714', '827727', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4]
129408	['838079', '841447', '816768', '818069', '818899', '824970', '826914', '829995', '831472', '831528', '832070', '832247']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]	[29, 38, 39]
377	['839433', '837974', '841843', '843596', '843810', '844343', '816270', '817221', '818343', '831861', '831151', '831377', '833979', '834232']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[0, 1, 2, 3, 4]
872	['838151', '839869', '824699', '825208', '826914', '831122', '835375', '835398']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[3, 4, 5, 6]
902	['824970', '826914', '829995', '830101', '831122', '832070', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[3, 4, 6]
905	['824970', '826914', '829995', '830101', '831472', '832070', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[3, 4]
524	['839433', '841843', '843596', '843810', '816270', '817221', '818343', '831151', '833979', '834232']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4, 5, 6, 7]
92722	['838021', '820211', '830157', '831151', '833979']	[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]	[31]
7136	['837974', '838455', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13, 15, 16, 17]
7574	['838364', '842985', '843048', '820176', '820211', '822266']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[5]
861	['843903', '822517', '824970', '826914', '829995', '830101', '831472', '832070', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[3, 4]
751	['837778', '843048', '844343', '817272', '817646', '820211', '822266', '825714', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[0, 1, 2, 3, 4]
109662	['838672', '841468', '841892', '824970', '829995', '830101', '831472', '831528', '832070']	[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29]
523	['839433', '837778', '841843', '842985', '843048', '843596', '843810', '844343', '816270', '817272', '817646', '825714', '827727', '831861', '831151', '831377', '832057', '833979', '834232']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4]
6778	['837974', '838455', '843095', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
121185	['838672', '841468', '841892', '816768', '824970', '829995', '830101', '831472', '831528', '832070']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29]
129244	['838079', '841447', '816768', '818069', '818899', '822055', '824970', '826914', '829995', '831472', '831528', '832070', '832247']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[29]
128864	['838079', '841447', '816768', '818069', '818822', '818899', '822055', '824970', '825208', '826914', '829995', '831472', '831528', '832070', '832247']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]	[29]
348	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '844264', '844343', '816546', '817272', '817646', '818069', '818672', '820211', '822266', '824699', '824937', '825208', '825714', '827001', '827727', '829730', '831861', '831832', '831122', '831377', '832057', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8]	[3, 4]
186801	['838362', '838779', '842833', '844230', '818316', '827727']	[46, 47, 48]	[46]
710	['837778', '838364', '842985', '843048', '844343', '817272', '820211', '822266', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[0, 1, 2, 3, 4]
6398	['838151', '839869', '841447', '818899', '820775', '824699', '826914', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[6]
41066	['839433', '816545', '817499', '819107', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[15, 16, 17]
606	['838364', '841652', '842985', '843048', '844264', '816546', '818069', '820211', '822266', '825714', '829730', '831832', '832136', '834212']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[1, 3, 4]
138714	['837974', '816270', '817221', '818599', '828489', '831861', '832057']	[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[31, 32]
721	['837778', '843048', '844343', '817272', '817646', '825714', '832057', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[0, 1, 2, 3, 4]
6557	['838807', '838851', '842103', '818899', '826914', '829995', '830101', '831122']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[6]
419	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '844264', '816546', '817646', '818069', '818672', '820211', '821840', '822266', '822517', '824699', '824937', '824970', '825208', '826914', '827001', '827830', '829730', '829995', '830101', '831832', '831122', '832136', '832247', '834212', '835320', '835375', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
430	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '844264', '816546', '817272', '817646', '818069', '818672', '820211', '822266', '822517', '824699', '824937', '825208', '825714', '826914', '827001', '827727', '827830', '829730', '830101', '831832', '831122', '832057', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
434	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '844264', '816546', '817272', '817646', '818069', '818672', '820211', '821840', '822266', '822517', '824699', '824937', '825208', '825714', '826914', '827001', '827830', '829730', '830101', '831832', '831122', '832057', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
51638	['839433', '837974', '838455', '816270', '816545', '817221', '817499', '818343', '818731', '819107', '820741', '828489', '833471', '835355']	[13, 14, 15, 16, 17, 18, 19]	[16, 17]
188909	['839392', '837040', '841920', '844283', '816651', '818300', '824524', '831910']	[49, 50, 51, 52, 53]	[49]
291	['839433', '837265', '837778', '837974', '838151', '838364', '839869', '841652', '841843', '842985', '843048', '843596', '843810', '844264', '844343', '816270', '816546', '817221', '817272', '817499', '817646', '818069', '818343', '818672', '820211', '822266', '824699', '824937', '825714', '827001', '827727', '827830', '829730', '831861', '831832', '831151', '831377', '832057', '832136', '832247', '833979', '834212', '834232', '835320']	[0, 1, 2, 3, 4, 5, 6, 7]	[3, 4]
1134	['843596', '843810', '817272', '817646', '825714']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	[0, 1, 2, 3, 4, 5]
25608	['837974', '816545', '817499', '821143', '820741', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[12, 13, 15, 16, 17]
96798	['838672', '841468', '841892', '829995', '831472', '832070']	[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29, 30, 31, 32, 33]
657	['837778', '841843', '843048', '843596', '843810', '844343', '816270', '817272', '817646', '825714', '831861', '831151', '831377', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[0, 1, 2, 3, 4]
659	['837778', '841843', '843596', '843810', '844343', '816270', '817272', '817646', '825714', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[0, 1, 2, 3, 4]
697	['837778', '838364', '841652', '842985', '843048', '844264', '816546', '817272', '818069', '820211', '822266', '827001', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[1, 2, 3, 4]
1222	['843596', '817272', '817646', '825714', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[0, 1, 2, 3, 4, 5]
226	['841920', '844283', '824524', '828213', '828595', '835431']	[0, 1, 2, 3]	[0, 1, 3]
229	['838250', '844010', '818300', '818899', '820176', '830157']	[0, 1, 2, 3]	[0, 1]
927	['838364', '842985', '843048', '820211', '822266', '829730']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[0, 1, 3, 4, 5]
5629	['841900', '843747', '844230', '816692', '829966', '836393']	[3, 4, 5, 6]	[5]
90316	['837265', '841447', '841892', '818822', '818899', '818903', '826914', '831122', '831528']	[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29]
556	['837778', '838364', '841652', '842985', '843048', '844264', '816546', '817272', '817646', '818069', '820211', '822266', '827001', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[1, 2, 3, 4]
558	['837778', '838364', '841652', '842985', '843048', '844264', '816546', '817272', '817646', '818069', '820211', '822266', '825714', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[1, 2, 3, 4]
208	['839392', '838250', '838984', '841467', '841920', '842833', '844010', '844283', '816651', '817174', '818300', '818899', '820176', '824524', '828213', '828577', '830128', '830157', '835431', '836393']	[0, 1, 2]	[0]
441	['837778', '841652', '841843', '842985', '843048', '843596', '843810', '844343', '816270', '817272', '817646', '825714', '827727', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4]
522	['839433', '837778', '841843', '843596', '843810', '844343', '816270', '817221', '817272', '817646', '825714', '827727', '831861', '831151', '831377', '832057', '833979', '834232']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4]
165264	['838455', '841843', '841900', '842985', '843596', '820211', '822266', '829283', '831832', '833979']	[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[42, 43]
6652	['817272', '820211', '831832', '832136', '834286']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[3, 4]
138459	['837974', '816270', '817221', '818599', '823859', '828489', '831861', '832057']	[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]	[31, 32]
40841	['837974', '838455', '816545', '817499', '821143', '820741', '3770591', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13, 15, 16, 17]
41500	['837974', '816545', '821143', '3770591', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	[12, 13, 15, 16, 17]
9889	['838455', '843095', '816545', '821143', '3770591']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
52492	['839433', '816270', '816545', '817499', '819107', '833471']	[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[16, 17]
150942	['817646', '823859', '828489', '831377', '835355']	[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[43]
30568	['837974', '816545', '817499', '820741', '833471']	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[11, 12, 13, 15, 16, 17, 20, 21]
25442	['837974', '838455', '816545', '817499', '821143', '820741', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13, 15, 16, 17]
183193	['837040', '838250', '838672', '838779', '841920', '842833', '843747', '844230', '814643', '818316', '829966']	[43, 44]	[44]
248	['839433', '839566', '837265', '837778', '837974', '837996', '838151', '838364', '839869', '841534', '841652', '841843', '842985', '843048', '843095', '843596', '843810', '844264', '844343', '816270', '816545', '816546', '817221', '817272', '817499', '817646', '818069', '818343', '818672', '820041', '820211', '822266', '822517', '824699', '824970', '825208', '825714', '826914', '827001', '827727', '829730', '830101', '831861', '831832', '831122', '831151', '831377', '832057', '832070', '833979', '834212', '834232', '835320', '835375', '836043']	[0, 1, 2, 3, 4, 5]	[3]
123838	['838021', '841843', '841900', '820211', '829283', '833979']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]	[32, 42, 43]
109665	['838672', '841892', '818899', '818903', '824970', '826914', '829995', '830101', '831472', '831528', '832070']	[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29]
168633	['838455', '841843', '841900', '842985', '843596', '820211', '822266', '829283', '831832', '831377', '833979']	[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[42, 43]
521	['837778', '841843', '842985', '843048', '844343', '816270', '817272', '817646', '822266', '825714', '827727', '831861', '831151', '831377', '832057', '833979', '834232']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4]
410	['837265', '838151', '838364', '839869', '841558', '841652', '842103', '843048', '843903', '844264', '816546', '818069', '818672', '820211', '821840', '822266', '822517', '824699', '824937', '824970', '825208', '826914', '827001', '827830', '829730', '829995', '830101', '831832', '831122', '832070', '832136', '832247', '834212', '835320', '835375', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
109666	['841447', '841892', '816768', '818822', '818899', '818903', '824970', '826914', '827001', '829995', '830101', '831122', '831472', '831528', '832247']	[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[29]
344	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '843903', '844264', '816546', '817272', '817646', '818069', '818672', '820211', '821840', '822266', '822517', '824699', '824937', '825208', '825714', '826914', '827001', '827830', '829730', '830101', '831832', '831122', '832057', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8]	[3, 4]
351	['837265', '837778', '838151', '838364', '839869', '841652', '842985', '843048', '843903', '844264', '816546', '817272', '817646', '818069', '818672', '820211', '822266', '822517', '824699', '824937', '825208', '825714', '826914', '827001', '827727', '827830', '829730', '830101', '831832', '831122', '832057', '832136', '832247', '834212', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8]	[3, 4]
848	['838151', '839869', '824699', '825208', '826914', '830101', '831122', '835375', '835398']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[3, 4, 5, 6]
